country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Croatia,,,,,,,,,,,903,715,759,723,714,737,681,569,761,627,638,646,619,711
Haiti,,,,,,,,,,,,,,,,,,661,,529,,,,
Hungary,,,,,,,,,,,,1580,1620,1620,1520,1420,1460,1580,1560,1490,1520,1530,1230,1230
Indonesia,,,,,,,,,,,,,,,,,,51.9k,,50.6k,,,37.4k,
India,,,,,,,,,,,,,,,,,,189k,,202k,,,196k,
Ireland,,,,,,,,,,,,,,,,,,396,,311,,365,,
Iran,,,,,,,,,,,,,,,,,,40.5k,,34.4k,,,25.5k,
Iraq,,,,,,,,,,,,,,,,,,12.9k,,27.7k,,,11.1k,
Iceland,,,,,,,,,,,,10,16,31,19,32,27,21,24,23,16,30,14,15
Israel,,,,,,,,,,,,,,,,,,491,,317,,,398,
Italy,,,,,,,,,,,,,,,,,,7630,,7080,,5670,,
Jamaica,,,,,,,,,,,,,,,,,,53,,340,,,334,
Jordan,,,,,,,,,,,,,,,,,,1530,,1150,,,2030,
Japan,,,,,,,,,,,15.1k,14.2k,14k,13.5k,13.2k,12.9k,12.4k,11.1k,10.9k,9890,10k,9230,6640,7660
Kazakhstan,,,,,,,,,,,,,,,,,,2480,,3060,,,4710,
Kenya,,,,,,,,,,,,,,,,,,7050,,8560,,,12.9k,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,636,,1010,,,1210,
Cambodia,,,,,,,,,,,,,,,,,,2760,,2880,,,1750,
Kiribati,,,,,,,,,,,,,,,6,,7,5,,5,,,7,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,6,,7,,,,
South Korea,,,,,,,,,,,18.2k,18.3k,16.1k,12.9k,13k,12.6k,10.8k,10.6k,9560,9150,8240,8240,6170,
Kuwait,,,,,,,,,,,324,333,379,356,400,397,388,379,,411,,482,,518
Lao,,,,,,,,,,,,,,,,,,1230,,1140,,,1080,
Lebanon,,,,,,,,,,,,,,,,,,1480,,1630,,,1170,
Liberia,,,,,,,,,,,,,,,,,,1560,,884,,,1240,
Libya,,,,,,,,,,,,,,,,,,960,,1140,,,2500,
St. Lucia,,,,,,,,,,,,,,,,,,22,,29,,,29,
Sri Lanka,,,,,,,,,,,,,,,,,,1630,,1460,,,2600,
Lesotho,,,,,,,,,,,,,,,,,,426,,262,,,537,
Lithuania,,,,,,,,,,,,,,979,873,760,829,709,830,778,874,759,870,586
Luxembourg,,,,,,,,,,,,,,63,61,90,82,62,61,53,48,40,,
Latvia,,,,,,,,,,,,675,641,777,735,720,628,583,558,520,494,407,482,392
Morocco,,,,,,,,,,,,,,,,,,5700,,5700,,,8850,
Monaco,,,,,,,,,,,,,,,,,,4,,3,,,,
Moldova,,,,,,,,,,,,808,731,645,542,557,636,670,622,626,594,550,571,649
Madagascar,,,,,,,,,,,,,,,,,,5140,,3620,,,6640,
Maldives,,,,,,,,,,,,,,,,,,26,,60,,,56,
Mexico,,,,,,,,,,,,,,19k,18.9k,19.2k,18.6k,12.3k,19.1k,20.6k,20.3k,22.1k,21k,
Marshall Islands,,,,,,,,,,,,,,,,,,6,,7,,,1,
North Macedonia,,,,,,,,,,,,,,,,,,110,,189,,140,,
Mali,,,,,,,,,,,,,,,,,,4900,,3230,,,3960,
Malta,,,,,,,,,,,24,16,23,15,14,17,19,17,16,14,18,11,14,19
Myanmar,,,,,,,,,,,,,,,,,,8100,,7520,,,11.4k,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,122,
Mongolia,,,,,,,,,,,,,,,,,,1100,,978,,,507,
Mozambique,,,,,,,,,,,,,,,,,,2560,,5240,,,7430,
Mauritania,,,,,,,,,,,,,,,,,,1070,,684,,,1110,
Martinique,,,,,,,,,,,,,,,,74,69,53,62,56,50,56,,
Mauritius,,,,,,,,,,,,,,180,206,193,173,182,188,196,152,160,140,207
Malawi,,,,,,,,,,,,,,,,,,3240,,2620,,,3610,
Malaysia,,,,,,,,,,,,,,,,,,3450,,3830,,,6280,
Namibia,,,,,,,,,,,,,,,,,,449,,377,,,594,
Niger,,,,,,,,,,,,,,,,,,4980,,4180,,,5360,
Nigeria,,,,,,,,,,,,,,,,,,32.3k,,33.6k,,,47.9k,
Nicaragua,,,,,,,,,,,,,,,,,,855,,726,,,797,
Netherlands,,,,,,,,,,,,,,,,,,1030,,872,,,791,
Norway,,,,,,,,,,,,316,340,406,353,374,310,331,321,284,284,299,233,
Nepal,,,,,,,,,,,,,,,,,,3760,,3760,,,4250,
Nauru,,,,,,,,,,,,,,,,,,2,,2,,,1,
New Zealand,,,,,,,,,,,,,568,547,564,497,485,490,525,473,458,433,423,
Oman,,,,,,,,,,,,,,,,,,333,,291,,,553,
Pakistan,,,,,,,,,,,,,,,,,,17.7k,,17.3k,,,41.5k,
Panama,,,,,,,,,,,,,,,,,,433,,472,,,425,
Peru,,,,,,,,,,,,,,,3110,3110,,4160,,3690,,,6000,
Philippines,,,,,,,,,,,,,,,,,,7890,,8210,,,17.6k,
Palau,,,,,,,,,,,,,,,,,,2,,1,,,3,
Papua New Guinea,,,,,,,,,,,,,,,,,,853,,876,,,901,
Poland,,,,,,,,,,,,,,,7650,7270,6440,6010,6410,6230,6170,5780,5580,6330
Puerto Rico,,,,,,,,,,,,,,,632,631,571,588,524,,513,,511,
North Korea,,,,,,,,,,,,,,,,,,3040,,3170,,,,
Portugal,,,,,,,,,,,,,,,,,,1720,,2000,,,1110,
Paraguay,,,,,,,,,,,,569,619,531,583,527,629,524,619,662,782,954,1210,
Palestine,,,,,,,,,,,,,,,,,,,,,,,896,
Qatar,,,,,,,,,,,,,,,,,,128,,151,,,199,
Reunion,,,,,,,,,,,,,,,,,139,107,95,86,98,83,,
Romania,,,,,,,,,,,,,,,,,,2780,,2610,,,2710,
Russia,,,,,,,,,,,,,,,,,,44.6k,,45.3k,,,36k,
